fetch_time,vehicle_number,line,brigade,type,lat,lon,vehicle_time
2026-07-22T14:37:24,1282,26,018,2,52.298862,20.930952,2026-07-22T09:17:15
2026-07-22T14:37:24,1284,15,012,2,52.298897,20.931227,2026-07-15T09:42:10
2026-07-22T14:37:24,1290,26,015,2,52.298397,20.929226,2026-07-20T23:40:38
2026-07-22T14:37:24,1300,26,018,2,52.29913,20.9308,2026-07-17T09:18:11
2026-07-22T14:37:24,1304,26,014,2,52.277187,20.935837,2026-07-22T16:37:13
2026-07-22T14:37:24,1306,79,015,2,52.25582,21.054325,2026-07-22T09:50:43
2026-07-22T14:37:24,1308,15,011,2,52.299435,20.931458,2026-07-22T09:13:21
2026-07-22T14:37:24,1316,17,016,2,52.299427,20.928076,2024-10-26T07:09:54
2026-07-22T14:37:24,1320,15,011,2,52.298576,20.928871,2026-07-20T23:40:02
2026-07-22T14:37:24,1362,15,013,2,52.298683,20.932066,2026-07-20T20:05:04
2026-07-22T14:37:24,1368,15,013,2,52.298847,20.930824,2026-07-16T10:12:28
2026-07-22T14:37:24,1378,26,018,2,52.299225,20.931444,2026-07-15T09:18:35
2026-07-22T14:37:24,1380,15,013,2,52.29889,20.930838,2026-07-15T10:12:52
2026-07-22T14:37:24,1387,4,012,2,52.227287,21.013151,2026-07-22T16:37:11
2026-07-22T14:37:24,1398,73,013,2,52.2481,21.019037,2026-07-22T16:37:13
2026-07-22T14:37:24,1404,73,010,2,52.251003,21.026014,2026-07-22T16:37:13
2026-07-22T14:37:24,1418,79,015,2,52.248,21.047012,2026-07-22T16:37:11
2026-07-22T14:37:24,1420,79,016,2,52.2559,21.05475,2026-07-22T10:18:27
2026-07-22T14:37:24,1428,26,017,2,52.245804,21.079412,2026-07-22T16:37:13
2026-07-22T14:37:24,1430,79,013,2,52.230156,21.01137,2026-07-22T16:37:11
2026-07-22T14:37:24,1444,79,013,2,52.256184,21.055862,2026-07-22T10:32:23
2026-07-22T14:37:24,1454,79,016,2,52.220287,21.004257,2026-07-22T16:37:14
2026-07-22T14:37:24,1462,79,014,2,52.24501,21.090282,2026-07-22T16:37:11
2026-07-22T14:37:24,2010,24,09,2,52.26006,20.924866,2026-07-22T16:37:13
2026-07-22T14:37:24,2016,10,015,2,52.236187,20.914104,2026-07-22T16:37:13
2026-07-22T14:37:24,2022,26,016,2,52.228115,20.948273,2026-07-22T16:37:10
2026-07-22T14:37:24,2024,26,019,2,52.232384,20.993868,2026-07-22T16:37:09
2026-07-22T14:37:24,2026,20,010,2,52.25868,21.001326,2026-07-22T16:37:13
2026-07-22T14:37:24,2034,10,014,2,52.168163,21.016022,2026-07-22T16:37:13
2026-07-22T14:37:24,2042,24,08,2,52.23901,20.971268,2026-07-22T16:37:13
2026-07-22T14:37:24,2074,10,012,2,52.228054,20.9578,2026-07-22T16:37:12
2026-07-22T14:37:24,2080,63,012,2,52.25679,21.056099,2026-07-22T15:51:30
2026-07-22T14:37:24,2082,4,015,2,52.199097,21.023914,2026-07-22T16:37:11
2026-07-22T14:37:24,2092,18,012,2,52.216564,21.019907,2026-07-22T16:37:09
2026-07-22T14:37:24,2130,73,012,2,52.198223,20.965258,2026-07-22T16:37:12
2026-07-22T14:37:24,2148,4,014,2,52.254536,21.034323,2026-07-22T16:37:10
2026-07-22T14:37:24,2160,20,011,2,52.26342,20.899796,2026-07-22T16:37:08
2026-07-22T14:37:24,3002,28,012,2,52.257023,21.03022,2026-07-22T16:37:11
2026-07-22T14:37:24,3003,6,014,2,52.25678,21.029583,2026-07-22T16:37:09
2026-07-22T14:37:24,3008,63,2,2,52.199398,20.966267,2026-07-22T16:37:07
2026-07-22T14:37:24,3009,3,2,2,52.29934,21.022062,2026-07-22T16:37:09
2026-07-22T14:37:24,3011,7,2,2,52.256115,21.055262,2025-04-29T11:50:32
2026-07-22T14:37:24,3012,63,7,2,52.2387,20.996012,2026-07-22T16:37:10
2026-07-22T14:37:24,3014,28,2,2,52.263485,21.02078,2026-07-22T16:37:11
2026-07-22T14:37:24,3015,3,8,2,52.27438,21.031178,2026-07-22T16:37:09
2026-07-22T14:37:24,3016,28,4,2,52.25408,21.054214,2026-07-22T16:37:07
2026-07-22T14:37:24,3017,26,3,2,52.23106,20.987673,2026-07-22T16:37:10
2026-07-22T14:37:24,3018,6,011,2,52.242573,21.101858,2026-07-22T16:37:12
2026-07-22T14:37:24,3019,63,010,2,52.254105,21.03325,2026-07-22T16:37:08
2026-07-22T14:37:24,3020,28,3,2,52.250477,21.044481,2026-07-22T16:37:11
2026-07-22T14:37:24,3022,6,2,2,52.238197,21.119278,2026-07-22T16:37:08
2026-07-22T14:37:24,3027,63,011,2,52.25036,21.02451,2026-07-22T16:37:07
2026-07-22T14:37:24,3028,63,013,2,52.219387,20.98384,2026-07-22T16:37:10
2026-07-22T14:37:24,3029,28,5,2,52.260376,21.007751,2026-07-22T16:37:08
2026-07-22T14:37:24,3102,17,9,2,52.314087,20.96764,2026-07-22T16:37:11
2026-07-22T14:37:24,3103,18,8,2,52.25283,21.030298,2026-07-22T16:37:10
2026-07-22T14:37:24,3106,15,3,2,52.2182,20.983742,2026-07-22T16:37:09
2026-07-22T14:37:24,3109,15,010,2,52.218987,20.99869,2026-07-22T16:37:15
2026-07-22T14:37:24,3110,17,9,2,52.187767,21.001144,2026-07-22T00:56:59
2026-07-22T14:37:24,3114,17,4,2,52.23106,21.01098,2026-07-22T16:37:08
2026-07-22T14:37:24,3115,15,6,2,52.210293,20.97578,2026-07-22T16:37:06
2026-07-22T14:37:24,3116,10,4,2,52.227356,20.949697,2026-07-22T16:37:09
2026-07-22T14:37:24,3117,67,2,2,52.18191,20.988922,2026-07-22T16:37:07
2026-07-22T14:37:24,3119,67,1,2,52.209805,21.020529,2026-07-22T16:37:10
2026-07-22T14:37:24,3120,4,1,2,52.20595,21.022673,2026-07-22T16:37:05
2026-07-22T14:37:24,3121,15,2,2,52.223232,21.015821,2026-07-22T16:36:39
2026-07-22T14:37:24,3122,63,5,2,52.25812,21.059723,2026-07-22T16:37:11
2026-07-22T14:37:24,3124,15,8,2,52.23899,21.005758,2026-07-22T16:37:09
2026-07-22T14:37:24,3125,10,11,2,52.169544,21.018236,2026-07-22T16:37:10
2026-07-22T14:37:24,3128,67,09,2,52.19632,21.001842,2026-07-22T16:37:10
2026-07-22T14:37:24,3129,79,12,2,52.239807,21.0507,2026-07-22T16:37:12
2026-07-22T14:37:24,3130,26,12,2,52.292023,20.930166,2026-07-22T16:37:11
2026-07-22T14:37:24,3134,10,6,2,52.235855,20.91426,2026-07-22T16:37:05
2026-07-22T14:37:24,3139,6,4,2,52.25659,21.028624,2026-07-22T16:37:10
2026-07-22T14:37:24,3140,79,1,2,52.23812,21.118908,2026-07-22T16:37:10
2026-07-22T14:37:24,3141,18,9,2,52.24677,21.01499,2026-07-22T16:37:12
2026-07-22T14:37:24,3143,79,9,2,52.218914,20.983444,2026-07-22T16:37:08
2026-07-22T14:37:24,3144,2,023,2,52.309853,20.957472,2026-07-22T16:37:06
2026-07-22T14:37:24,3145,17,10,2,52.281727,20.95803,2026-07-22T16:37:08
2026-07-22T14:37:24,3146,1,8,2,52.261993,21.01342,2026-07-22T16:37:07
2026-07-22T14:37:24,3147,73,9,2,52.17597,20.9439,2026-07-22T16:37:10
2026-07-22T14:37:24,3149,15,1,2,52.268173,20.987202,2026-07-22T16:37:08
2026-07-22T14:37:24,3150,15,011,2,52.268497,20.986895,2026-07-22T16:37:12
2026-07-22T14:37:24,3155,1,020,2,52.305584,21.018023,2026-07-22T16:37:10
2026-07-22T14:37:24,3156,26,10,2,52.230797,20.914946,2026-07-22T16:37:03
2026-07-22T14:37:24,3161,3,09,2,52.2483,21.046154,2026-07-22T16:37:08
2026-07-22T14:37:24,3164,1,13,2,52.226143,20.995918,2026-07-22T16:37:07
2026-07-22T14:37:24,3166,20,4,2,52.247383,20.957193,2026-07-22T16:37:11
2026-07-22T14:37:24,3167,1,11,2,52.25183,20.980576,2026-07-22T16:37:08
2026-07-22T14:37:24,3168,26,018,2,52.2524,21.03726,2026-07-22T16:37:09
2026-07-22T14:37:24,3170,15,5,2,52.182835,20.95105,2026-07-22T16:37:11
2026-07-22T14:37:24,3171,15,012,2,52.24112,21.00483,2026-07-22T16:37:08
2026-07-22T14:37:24,3173,24,7,2,52.231804,20.98321,2026-07-22T16:37:08
2026-07-22T14:37:24,3174,1,1,2,52.31115,21.012655,2026-07-22T16:37:09
2026-07-22T14:37:24,3176,79,6,2,52.21582,20.980654,2026-07-22T16:37:10
2026-07-22T14:37:24,3177,73,7,2,52.22292,21.004753,2026-07-22T16:37:09
2026-07-22T14:37:24,3178,17,12,2,52.229233,21.01213,2026-07-22T16:37:08
2026-07-22T14:37:24,3179,1,10,2,52.293186,21.027328,2026-07-22T16:37:12
2026-07-22T14:37:24,3182,73,5,2,52.25998,21.043072,2026-07-22T16:37:10
2026-07-22T14:37:24,3183,3,5,2,52.237732,21.119646,2026-07-22T16:37:12
2026-07-22T14:37:24,3184,20,9,2,52.275326,21.013472,2026-07-22T16:37:01
2026-07-22T14:37:24,3185,20,7,2,52.247192,20.950256,2026-07-22T16:37:10
2026-07-22T14:37:24,3186,3,4,2,52.245434,21.082552,2026-07-22T16:37:06
2026-07-22T14:37:24,3187,1,017,2,52.2658,21.027126,2026-07-22T16:37:10
2026-07-22T14:37:24,3188,10,8,2,52.227386,21.002127,2026-07-22T16:37:07
2026-07-22T14:37:24,3189,15,9,2,52.275223,20.980492,2026-07-22T16:37:07
2026-07-22T14:37:24,3190,17,7,2,52.31881,20.952047,2026-07-22T16:37:07
2026-07-22T14:37:24,3191,73,1,2,52.176525,20.944504,2026-07-22T16:37:07
2026-07-22T14:37:24,3192,10,1,2,52.205555,21.022795,2026-07-22T16:37:09
2026-07-22T14:37:24,3193,20,1,2,52.290604,21.001873,2026-07-22T16:37:10
2026-07-22T14:37:24,3194,24,5,2,52.26035,20.925152,2026-07-22T16:37:08
2026-07-22T14:37:24,3195,26,13,2,52.29184,20.92988,2026-07-22T16:37:08
2026-07-22T14:37:24,3196,2,024,2,52.32427,20.942709,2026-07-22T16:37:10
2026-07-22T14:37:24,3197,26,5,2,52.251984,21.037893,2026-07-22T16:37:12
2026-07-22T14:37:24,3198,17,13,2,52.20688,21.004128,2026-07-22T16:37:07
2026-07-22T14:37:24,3201,17,6,2,52.290558,20.949781,2026-07-22T16:37:07
2026-07-22T14:37:24,3203,79,4,2,52.243526,21.002329,2026-07-22T16:37:09
2026-07-22T14:37:24,3204,26,11,2,52.26174,20.925392,2026-07-22T16:37:10
2026-07-22T14:37:24,3206,79,10,2,52.220177,21.006134,2026-07-22T16:37:12
2026-07-22T14:37:24,3207,26,8,2,52.24474,21.002686,2026-07-22T16:37:09
2026-07-22T14:37:24,3209,63,9,2,52.205677,20.971884,2026-07-22T16:37:09
2026-07-22T14:37:24,3210,79,017,2,52.188164,20.956348,2026-07-22T16:37:09
2026-07-22T14:37:24,3214,24,6,2,52.24868,20.921185,2026-07-22T16:37:10
2026-07-22T14:37:24,3215,79,8,2,52.18841,20.956537,2026-07-22T16:37:10
2026-07-22T14:37:24,3216,67,010,2,52.17819,21.048225,2026-07-22T16:37:10
2026-07-22T14:37:24,3218,15,7,2,52.22275,21.016144,2026-07-22T16:37:11
2026-07-22T14:37:24,3220,26,4,2,52.24492,21.002668,2026-07-22T16:37:06
2026-07-22T14:37:24,3221,20,3,2,52.23774,20.979181,2026-07-22T16:37:03
2026-07-22T14:37:24,3222,10,10,2,52.17,21.018538,2026-07-22T16:37:12
2026-07-22T14:37:24,3223,67,4,2,52.196587,21.001818,2026-07-22T16:37:08
2026-07-22T14:37:24,3226,2,022,2,52.29186,20.929688,2026-07-22T16:37:09
2026-07-22T14:37:24,3227,26,015,2,52.27503,20.937983,2026-07-22T16:37:08
2026-07-22T14:37:24,3228,3,7,2,52.249294,21.043175,2026-07-22T16:37:11
2026-07-22T14:37:24,3229,63,4,2,52.237442,20.996496,2026-07-22T16:37:11
